Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo
1,1,1,7000.0,0.0006269592476489,0.1200850888629657,23.09,17.62,8.4,0.28,1,Rntuple,LZ4
2,1,1,7000.0,0.0006218905472636,0.1171038543897216,23.22,18.09,8.32,0.28,1,Rntuple,LZ4
3,1,1,7000.0,0.0006246096189881,0.1171861921183915,23.34,18.1,8.51,0.28,1,Rntuple,LZ4
4,1,1,7000.0,0.0006234413965087,0.1183612045788877,23.09,18.1,9.01,0.28,1,Rntuple,LZ4
5,1,1,7000.0,0.0006261740763932,0.1184152654193592,23.1,17.47,8.3,0.28,1,Rntuple,LZ4
1,1,1,7000.0,0.0006301830272676,0.1185658345570239,22.48,17.01,7.65,0.28,5,Rntuple,LZ4
1,1,1,7000.0,0.0006309148264984,0.1181933305192064,22.79,17.48,8.69,0.28,5,Rntuple,LZ4
2,1,1,7000.0,0.0006337135614702,0.1198897014746433,23.03,17.58,9.37,0.28,5,Rntuple,LZ4
3,1,1,7000.0,0.0006285355122564,0.1157579666286319,22.78,17.04,7.85,0.28,5,Rntuple,LZ4
4,1,1,7000.0,0.0006305170239596,0.1178768691903543,22.9,16.69,7.99,0.28,5,Rntuple,LZ4
1,1,4,28000.0,0.002341522809359,0.342876735813475,45.07,35.02,18.95,1.13,1,Rntuple,LZ4
2,1,4,28000.0,0.0023602090335989,0.3463074963204828,44.85,34.96,19.64,1.13,1,Rntuple,LZ4
3,1,4,28000.0,0.0022944331316144,0.3465260760872256,44.86,33.74,19.51,1.13,1,Rntuple,LZ4
4,1,4,28000.0,0.0022680343561844,0.350899179146563,44.84,35.6,18.82,1.13,1,Rntuple,LZ4
5,1,4,28000.0,0.0023750329747881,0.3672371958816972,44.86,35.41,18.73,1.13,1,Rntuple,LZ4
1,1,4,28000.0,0.0022789685388393,0.3185220576524924,44.2,33.28,18.08,1.13,5,Rntuple,LZ4
2,1,4,28000.0,0.0023609646867982,0.3347640511232529,44.46,34.89,18.83,1.13,5,Rntuple,LZ4
3,1,4,28000.0,0.0022614683908101,0.3204871404534893,44.19,33.63,18.35,1.13,5,Rntuple,LZ4
4,1,4,28000.0,0.0023646603536991,0.3359046030927217,44.07,34.36,18.48,1.13,5,Rntuple,LZ4
5,1,4,28000.0,0.0023498987766754,0.3325456654343219,43.97,34.46,18.58,1.13,5,Rntuple,LZ4
1,1,8,56000.0,0.0040990659326703,0.462198745460548,74.2,59.52,33.4,2.27,1,Rntuple,LZ4
2,1,8,56000.0,0.0044137346595134,0.5635957408264729,73.79,59.46,32.95,2.27,1,Rntuple,LZ4
3,1,8,56000.0,0.0044986365917815,0.5641351103589309,74.29,57.38,34.33,2.27,1,Rntuple,LZ4
4,1,8,56000.0,0.0045317287776511,0.5440643550408534,73.64,58.0,34.02,2.27,1,Rntuple,LZ4
5,1,8,56000.0,0.0045307058475635,0.5729486392469818,74.03,56.86,33.14,2.27,1,Rntuple,LZ4
1,1,8,56000.0,0.004396559629282,0.5010288986311174,80.55,63.13,33.5,2.27,5,Rntuple,LZ4
2,1,8,56000.0,0.0043971271683725,0.5034612964128382,80.53,63.9,35.15,2.27,5,Rntuple,LZ4
3,1,8,56000.0,0.0043933690880354,0.5016752369519646,80.39,65.55,33.97,2.27,5,Rntuple,LZ4
1,1,8,56000.0,0.0043965767879543,0.5019547865433269,80.52,63.93,33.75,2.27,5,Rntuple,LZ4
2,1,8,56000.0,0.0043965456543287,0.5029865876547653,80.5,63.9,35.65,2.27,5,Rntuple,LZ4
1,1,16,112000.0,0.0084682347065004,0.7741436036384749,133.96,108.4,65.08,4.55,1,Rntuple,LZ4
2,1,16,112000.0,0.0084777733975948,0.774764803541782,133.34,107.48,64.38,4.55,1,Rntuple,LZ4
