Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo
1,1,1,7000.0,0.0006218905472636,0.0395822377535383,13.48,9.53,5.02,0.28,1,TTree,LZMA
2,1,1,7000.0,0.0006207324643078,0.0397203686050206,13.47,9.48,4.82,0.28,1,TTree,LZMA
3,1,1,7000.0,0.0006230529595015,0.0396757920988494,13.47,9.53,4.75,0.28,1,TTree,LZMA
4,1,1,7000.0,0.0006203473945409,0.0396623038132472,13.45,10.04,5.01,0.28,1,TTree,LZMA
5,1,1,7000.0,0.0006211180124223,0.0396411905948443,13.48,10.01,5.1,0.28,1,TTree,LZMA
1,1,4,28000.0,0.0023201663890753,0.1549178105687143,28.37,19.99,8.89,1.13,1,TTree,LZMA
2,1,4,28000.0,0.0023069761310362,0.1548604044068846,28.39,21.2,9.03,1.13,1,TTree,LZMA
3,1,4,28000.0,0.002194185408667,0.1515856946414457,28.41,21.43,9.14,1.13,1,TTree,LZMA
4,1,4,28000.0,0.0022913444463538,0.1537599806701738,28.37,20.81,8.87,1.13,1,TTree,LZMA
5,1,4,28000.0,0.0022519262011613,0.1519328022920148,28.36,21.17,8.82,1.13,1,TTree,LZMA
1,1,8,56000.0,0.0044066729619137,0.2935656695918389,48.24,35.46,14.0,2.27,1,TTree,LZMA
2,1,8,56000.0,0.0044893378226711,0.3010315706859757,48.26,35.51,14.32,2.27,1,TTree,LZMA
3,1,8,56000.0,0.0044967639359532,0.3028549487039431,48.27,36.45,14.18,2.27,1,TTree,LZMA
4,1,8,56000.0,0.004439511653718,0.304337902024934,48.24,35.48,14.23,2.27,1,TTree,LZMA
5,1,8,56000.0,0.0044275774826059,0.3054234477944064,48.32,35.12,14.15,2.27,1,TTree,LZMA
1,1,16,112000.0,0.0084033613445378,0.5852292322001484,90.81,68.79,28.41,4.54,1,TTree,LZMA
2,1,16,112000.0,0.0083945435466946,0.5966904987693259,90.77,67.42,28.42,4.54,1,TTree,LZMA
3,1,16,112000.0,0.008446455505279,0.5731773472124134,90.64,68.65,29.62,4.54,1,TTree,LZMA
4,1,16,112000.0,0.0084166228300894,0.6041481241740162,90.67,65.83,28.33,4.54,1,TTree,LZMA
5,1,16,112000.0,0.0084403448483752,0.6027111237871784,90.69,64.83,28.37,4.54,1,TTree,LZMA
1,1,32,224000.0,0.0133926436121873,1.0241310887793638,175.81,132.32,54.39,9.09,1,TTree,LZMA
2,1,32,224000.0,0.0138010917649378,1.0729716524721458,175.78,130.35,55.15,9.08,1,TTree,LZMA
3,1,32,224000.0,0.013873405177753,1.0609426285800894,175.87,132.73,54.99,9.09,1,TTree,LZMA
4,1,32,224000.0,0.0137484042030835,1.0698098699512375,175.95,130.39,54.62,9.09,1,TTree,LZMA
5,1,32,224000.0,0.0138026224982746,1.069973393965159,175.76,132.64,54.88,9.09,1,TTree,LZMA
1,1,1,7000.0,0.0006230529595015,0.0457818559964421,23.15,17.83,8.39,0.28,1,Rntuple,LZMA
2,1,1,7000.0,0.0006184291898577,0.04575283013935,22.99,17.33,8.11,0.28,1,Rntuple,LZMA
3,1,1,7000.0,0.0006215040397762,0.0457408714289448,23.14,17.33,8.9,0.28,1,Rntuple,LZMA
4,1,1,7000.0,0.0006188118811881,0.045531120520876,22.96,17.91,8.09,0.28,1,Rntuple,LZMA
5,1,1,7000.0,0.0006213454678964,0.0457409780765843,23.18,17.33,8.69,0.28,1,Rntuple,LZMA
1,1,1,7000.0,0.0005385029617662,0.045795633713437,23.21,18.06,8.25,0.28,5,Rntuple,LZMA
2,1,1,7000.0,0.0005373455131649,0.0459290461849365,23.23,17.8,9.48,0.28,5,Rntuple,LZMA
3,1,1,7000.0,0.0005387931034482,0.045756119881034,23.22,17.96,8.09,0.28,5,Rntuple,LZMA
4,1,1,7000.0,0.000539374325782,0.0459957421084448,23.24,17.63,9.08,0.28,5,Rntuple,LZMA
5,1,1,7000.0,0.0005364806866952,0.0454403822185292,23.09,17.63,7.95,0.28,5,Rntuple,LZMA
1,1,4,28000.0,0.0021945919610842,0.0648866106478928,45.13,35.99,19.73,1.13,1,Rntuple,LZMA
2,1,4,28000.0,0.0021787946938879,0.0647120544690607,44.71,36.0,18.96,1.13,1,Rntuple,LZMA
3,1,4,28000.0,0.0021922947884846,0.0647974155087985,45.16,35.94,19.53,1.13,1,Rntuple,LZMA
4,1,4,28000.0,0.0021935634893265,0.0646115576231254,44.65,33.88,18.83,1.13,1,Rntuple,LZMA
5,1,4,28000.0,0.0021879876424664,0.0648096547653218,44.55,33.98,18.93,1.13,1,Rntuple,LZMA
1,1,4,28000.0,0.0021895033956069,0.0656715857811635,45.45,36.42,19.22,1.13,5,Rntuple,LZMA
2,1,4,28000.0,0.0021555689508768,0.0655504363786193,45.59,35.89,18.68,1.13,5,Rntuple,LZMA
3,1,4,28000.0,0.0020560092156207,0.064974091580982,45.58,34.65,18.14,1.13,5,Rntuple,LZMA
4,1,4,28000.0,0.002055264295244,0.0651297594153208,45.76,34.66,18.68,1.13,5,Rntuple,LZMA
5,1,4,28000.0,0.0020632853840547,0.0652133407862865,45.75,34.56,19.21,1.13,5,Rntuple,LZMA
1,1,8,56000.0,0.0042004452471962,0.07053056618412,73.99,56.53,33.7,2.27,1,Rntuple,LZMA
2,1,8,56000.0,0.0041900900180981,0.0709609891961894,73.47,58.62,34.06,2.27,1,Rntuple,LZMA
3,1,8,56000.0,0.0041553359559439,0.0709324963298766,74.23,59.63,34.21,2.27,1,Rntuple,LZMA
4,1,8,56000.0,0.0041973331194692,0.0708574638848363,73.92,59.01,33.59,2.27,1,Rntuple,LZMA
5,1,8,56000.0,0.0041833721415802,0.070827083264825,74.42,59.89,34.42,2.27,1,Rntuple,LZMA
1,1,8,56000.0,0.0039502803605674,0.0714714178142508,75.3,57.74,32.17,2.27,5,Rntuple,LZMA
2,1,8,56000.0,0.0039468461316397,0.0712912630011075,74.51,59.51,32.0,2.27,5,Rntuple,LZMA
3,1,8,56000.0,0.0039355646860656,0.0712305070085731,74.86,60.2,31.93,2.27,5,Rntuple,LZMA
4,1,8,56000.0,0.0039413873472316,0.0713026095481833,74.52,59.33,31.69,2.27,5,Rntuple,LZMA
5,1,8,56000.0,0.0039445637653219,0.0713012138964315,74.62,59.63,31.76,2.27,5,Rntuple,LZMA
1,1,16,112000.0,0.0075670296949162,0.0762468054630836,133.41,106.53,64.51,4.55,1,Rntuple,LZMA
2,1,16,112000.0,0.0075685780750186,0.0765872711955273,133.67,106.86,65.05,4.55,1,Rntuple,LZMA
3,1,16,112000.0,0.0076041145864027,0.0764234898513699,133.59,108.15,65.2,4.55,1,Rntuple,LZMA
4,1,16,112000.0,0.0076295140667121,0.0765880044038102,133.57,109.03,64.89,4.55,1,Rntuple,LZMA
5,1,16,112000.0,0.0076065774890538,0.0764295916271382,134.03,106.76,64.98,4.55,1,Rntuple,LZMA
1,1,16,112000.0,0.0072411520879862,0.0769288360186305,133.58,109.15,60.4,4.55,5,Rntuple,LZMA
2,1,16,112000.0,0.0072323963311861,0.0769458013012084,134.5,108.42,62.32,4.55,5,Rntuple,LZMA
3,1,16,112000.0,0.007217559342354,0.0768400094952297,134.47,108.38,61.8,4.55,5,Rntuple,LZMA
