Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo

1,1,1,7000.0,0.0006230529595015,0.0979130532087506,22.65,17.25,8.23,0.28,1,Rntuple,ZLIB
2,1,1,7000.0,0.0006265664160401,0.0991768322919765,22.63,17.1,7.8,0.28,1,Rntuple,ZLIB
3,1,1,7000.0,0.0006297229219143,0.0992204110559886,22.52,17.26,8.13,0.28,1,Rntuple,ZLIB
4,1,1,7000.0,0.0006234413965087,0.0983242734538508,22.63,16.99,7.94,0.28,1,Rntuple,ZLIB
5,1,1,7000.0,0.0006242197253433,0.0983906107245765,22.51,17.25,7.98,0.28,1,Rntuple,ZLIB
1,1,1,7000.0,0.0006317119393556,0.0917479291181713,22.4,17.2,8.67,0.28,5,Rntuple,ZLIB
2,1,1,7000.0,0.0006257822277847,0.0918153200419727,22.4,16.84,7.87,0.28,5,Rntuple,ZLIB
3,1,1,7000.0,0.0006230529595015,0.0916542278785974,22.41,16.95,7.89,0.28,5,Rntuple,ZLIB
4,1,1,7000.0,0.0006257822277847,0.0917234516174311,22.4,16.88,7.77,0.28,5,Rntuple,ZLIB
5,1,1,7000.0,0.0006230529595015,0.0917098658976577,22.4,16.85,7.79,0.28,5,Rntuple,ZLIB
1,1,4,28000.0,0.0022519827099201,0.2211987391671867,43.92,34.4,18.58,1.13,1,Rntuple,ZLIB
2,1,4,28000.0,0.0023593948152298,0.2312998223947792,43.68,32.67,17.97,1.13,1,Rntuple,ZLIB
3,1,4,28000.0,0.0022741596979915,0.2236439588175624,43.68,33.42,17.87,1.13,1,Rntuple,ZLIB
4,1,4,28000.0,0.002365200267842,0.2303844128488678,43.61,33.73,17.84,1.13,1,Rntuple,ZLIB
5,1,4,28000.0,0.0022707729703081,0.2216803369541121,43.5,32.41,17.71,1.13,1,Rntuple,ZLIB
1,1,4,28000.0,0.0022679584850199,0.1976340382280697,43.41,33.88,18.48,1.13,5,Rntuple,ZLIB
2,1,4,28000.0,0.0023588164133185,0.2040979961950302,43.78,33.85,18.22,1.13,5,Rntuple,ZLIB
3,1,4,28000.0,0.0023530590271579,0.2041932543299909,43.72,32.44,17.96,1.13,5,Rntuple,ZLIB
4,1,4,28000.0,0.0023438641195002,0.2005242276236446,43.38,32.23,17.69,1.13,5,Rntuple,ZLIB
5,1,4,28000.0,0.0023536545667542,0.2005198987678754,43.58,32.33,17.89,1.13,5,Rntuple,ZLIB
1,1,8,56000.0,0.0044169890016973,0.2970349546491274,72.12,55.12,31.84,2.27,1,Rntuple,ZLIB
2,1,8,56000.0,0.0045001064757335,0.2997104582894025,71.95,56.73,31.6,2.27,1,Rntuple,ZLIB
3,1,8,56000.0,0.0044881404095492,0.3003953417265222,71.99,57.62,31.89,2.27,1,Rntuple,ZLIB
4,1,8,56000.0,0.0044172959538594,0.298149873552509,71.85,56.76,31.39,2.27,1,Rntuple,ZLIB
5,1,8,56000.0,0.0044308031970143,0.2991133425916034,71.71,56.84,31.61,2.27,1,Rntuple,ZLIB
1,1,8,56000.0,0.0043505948622737,0.257742634774084,79.23,64.28,34.13,2.27,5,Rntuple,ZLIB
2,1,8,56000.0,0.0043828590140696,0.2534555954848696,78.84,61.53,32.11,2.27,5,Rntuple,ZLIB
3,1,8,56000.0,0.0043537682369438,0.2558035428790688,78.97,61.6,32.09,2.27,5,Rntuple,ZLIB
4,1,8,56000.0,0.0043621543876598,0.2544575648765324,78.66,61.6,32.18,2.27,5,Rntuple,ZLIB
5,1,8,56000.0,0.0043508769876543,0.2555643287654567,78.47,61.54,32.69,2.27,5,Rntuple,ZLIB
1,1,16,112000.0,0.008371319441029,0.3590998137169716,129.32,103.98,61.23,4.55,1,Rntuple,ZLIB
2,1,16,112000.0,0.0083020665400255,0.3633803456655538,129.09,104.7,60.9,4.55,1,Rntuple,ZLIB
3,1,16,112000.0,0.0082781970914554,0.3584745627090435,129.74,105.76,62.71,4.55,1,Rntuple,ZLIB
4,1,16,112000.0,0.0082888289823641,0.3584057344917519,129.86,104.06,61.44,4.55,1,Rntuple,ZLIB
5,1,16,112000.0,0.0083424479542976,0.3604554612220727,129.36,103.57,60.89,4.55,1,Rntuple,ZLIB
6,1,16,112000.0,0.0083636703071035,0.3626074062562728,129.61,103.84,61.21,4.55,1,Rntuple,ZLIB
