Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo
1,1,1,7000.0,0.0006242197253433,0.1152979412145539,22.41,17.3,7.99,0.28,1,Rntuple,ZSTD
2,1,1,7000.0,0.0006246096189881,0.1154125173118776,22.29,17.16,7.84,0.28,1,Rntuple,ZSTD
3,1,1,7000.0,0.0006265664160401,0.116253965090595,22.29,17.18,7.93,0.28,1,Rntuple,ZSTD
4,1,1,7000.0,0.0006184291898577,0.1151252281165439,22.41,16.57,9.58,0.28,1,Rntuple,ZSTD
5,1,1,7000.0,0.0006261740763932,0.115454395513772,22.41,16.58,7.72,0.28,1,Rntuple,ZSTD
1,1,1,7000.0,0.000629326620516,0.1145625347779123,22.37,16.63,7.66,0.28,5,Rntuple,ZSTD
2,1,1,7000.0,0.00062893081761,0.1174476938306404,22.49,16.81,8.01,0.28,5,Rntuple,ZSTD
3,1,1,7000.0,0.0006218905472636,0.1153782759189055,22.65,17.18,8.0,0.28,5,Rntuple,ZSTD
4,1,1,7000.0,0.0006281407035175,0.1181115648095029,22.49,17.04,7.97,0.28,5,Rntuple,ZSTD
5,1,1,7000.0,0.00062893081761,0.1181913348867051,22.37,16.53,7.6,0.28,5,Rntuple,ZSTD
1,1,4,28000.0,0.0022953758505802,0.322432058959005,43.35,33.58,17.6,1.13,1,Rntuple,ZSTD
2,1,4,28000.0,0.0024666691333358,0.324547535254596,43.32,33.95,17.55,1.13,1,Rntuple,ZSTD
3,1,4,28000.0,0.0022411863944297,0.3206780049246979,43.42,34.4,17.87,1.13,1,Rntuple,ZSTD
4,1,4,28000.0,0.0022766124819344,0.3268736866682232,43.36,33.63,17.95,1.13,1,Rntuple,ZSTD
5,1,4,28000.0,0.0022873576354734,0.3225732125987881,43.58,33.98,18.1,1.13,1,Rntuple,ZSTD
1,1,4,28000.0,0.0023638985414746,0.3436341768734199,43.79,33.55,18.04,1.13,5,Rntuple,ZSTD
2,1,4,28000.0,0.0022811508666825,0.3322535094276933,43.27,33.63,17.95,1.13,5,Rntuple,ZSTD
3,1,4,28000.0,0.0022871752772689,0.3341687552213868,43.61,32.26,17.84,1.13,5,Rntuple,ZSTD
4,1,4,28000.0,0.0023697019388901,0.3453123843820141,43.8,32.26,17.75,1.13,5,Rntuple,ZSTD
5,1,4,28000.0,0.0022804380037273,0.3314393939393939,43.65,32.62,17.56,1.13,5,Rntuple,ZSTD
1,1,8,56000.0,0.0044456108880631,0.4946122593181417,72.01,54.76,32.68,2.27,1,Rntuple,ZSTD
2,1,8,56000.0,0.0044538399258117,0.4877029192503309,72.22,58.11,32.43,2.27,1,Rntuple,ZSTD
3,1,8,56000.0,0.0044911167715222,0.4901832059732325,71.37,55.46,30.97,2.27,1,Rntuple,ZSTD
4,1,8,56000.0,0.0045126826528449,0.4886689878443589,72.01,57.02,31.98,2.27,1,Rntuple,ZSTD
5,1,8,56000.0,0.0044928665639337,0.4897790237153289,72.21,57.92,31.78,2.27,1,Rntuple,ZSTD
1,1,8,56000.0,0.0045465911932528,0.5263108429432054,72.03,56.98,32.24,2.27,5,Rntuple,ZSTD
2,1,8,56000.0,0.0044756375066095,0.5223442061767203,72.03,55.58,31.89,2.27,5,Rntuple,ZSTD
3,1,8,56000.0,0.0044974992298032,0.5274112583467541,72.03,56.85,31.81,2.27,5,Rntuple,ZSTD
4,1,8,56000.0,0.0044686610407288,0.5207606825684661,72.04,54.75,32.93,2.27,5,Rntuple,ZSTD
5,1,8,56000.0,0.0044965610806905,0.5207606825684661,72.03,55.75,32.83,2.27,5,Rntuple,ZSTD
1,1,16,112000.0,0.0085268821379329,0.6803175625193617,129.77,105.1,61.33,4.55,1,Rntuple,ZSTD
2,1,16,112000.0,0.0083437630371297,0.6670955137826698,130.06,102.14,61.51,4.55,1,Rntuple,ZSTD
3,1,16,112000.0,0.008459343564003,0.6719139950086389,129.45,103.52,61.6,4.55,1,Rntuple,ZSTD
4,1,16,112000.0,0.0083915302187619,0.687243050868258,129.32,102.97,60.96,4.55,1,Rntuple,ZSTD
5,1,16,112000.0,0.008482837024251,0.68975710696162,129.38,103.62,61.21,4.55,1,Rntuple,ZSTD
1,1,16,112000.0,0.0084119607567009,0.7006700157025155,128.87,104.46,60.91,4.55,5,Rntuple,ZSTD
2,1,16,112000.0,0.0084674632432712,0.6723375134317428,128.47,102.74,60.29,4.55,5,Rntuple,ZSTD
3,1,16,112000.0,0.008423570835913,0.6868089751215714,129.54,105.27,61.49,4.55,5,Rntuple,ZSTD
4,1,16,112000.0,0.0084247798048399,0.7226738934056007,128.72,103.29,60.1,4.55,5,Rntuple,ZSTD
5,1,16,112000.0,0.0084256378923445,0.7232256675379799,128.63,103.09,60.3,4.55,5,Rntuple,ZSTD
1,1,32,224000.0,0.0140761298686364,0.7936620416956023,253.78,204.49,127.05,9.11,1,Rntuple,ZSTD
2,1,32,224000.0,0.0135536651016419,0.7844290827082414,252.35,206.79,126.39,9.11,1,Rntuple,ZSTD
3,1,32,224000.0,0.0135071250084419,0.7901318179733824,252.96,199.69,126.1,9.1,1,Rntuple,ZSTD
4,1,32,224000.0,0.0131509978789319,0.7492014649564359,251.71,198.52,124.84,9.1,1,Rntuple,ZSTD
5,1,32,224000.0,0.0139531705434367,0.7574527944597739,252.56,198.87,125.34,9.11,1,Rntuple,ZSTD
1,1,32,224000.0,0.0139551342434074,0.7778939216619148,251.76,205.23,124.71,9.11,1,Rntuple,ZSTD
2,1,32,224000.0,0.0140763908133954,0.8050459127747129,252.84,199.57,126.04,9.11,1,Rntuple,ZSTD
3,1,32,224000.0,0.0135782329287666,0.7942783591060113,252.33,198.68,125.05,9.11,1,Rntuple,ZSTD
4,1,32,224000.0,0.0137770867366017,0.7421814169701106,251.85,199.01,125.06,9.1,1,Rntuple,ZSTD
5,1,32,224000.0,0.013841295703464,0.8005689758078063,252.35,205.94,125.22,9.11,1,Rntuple,ZSTD
1,1,32,224000.0,0.013607429899715,0.8238201718253502,251.93,207.28,126.23,9.11,5,Rntuple,ZSTD
2,1,32,224000.0,0.0139754512464199,0.8512061286841265,250.04,202.35,123.55,9.11,5,Rntuple,ZSTD
