Algo,AODtype,Level,Cores,Processors,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB
LZ4,Rntuple,1,1,1,7000.0,0.33,1.02,0.48,1.72,3.44,0.0
LZ4,Rntuple,1,4,1,28000.0,1.94,2.75,0.22,2.07,2.18,0.0
LZ4,Rntuple,1,8,1,56000.0,4.14,8.41,0.37,2.07,1.75,0.0
LZ4,Rntuple,1,16,1,112000.0,0.36,2.36,0.38,0.95,0.69,0.0
LZ4,Rntuple,1,32,1,224000.0,2.38,3.75,0.23,1.24,0.69,0.0
LZ4,Rntuple,5,1,1,7000.0,0.3,1.27,0.89,2.13,8.55,0.0
LZ4,Rntuple,5,4,1,28000.0,2.11,2.52,0.42,1.92,1.5,0.0
LZ4,Rntuple,5,8,1,56000.0,0.03,0.2,0.08,1.38,2.74,0.0
LZ4,Rntuple,5,16,1,112000.0,0.48,0.42,0.58,0.49,1.38,0.0
LZ4,Rntuple,5,32,1,224000.0,2.06,0.52,0.07,0.1,0.07,0.0
LZMA,Rntuple,1,1,1,7000.0,0.32,0.22,0.44,1.69,4.22,0.0
LZMA,Rntuple,1,4,1,28000.0,0.3,0.16,0.63,3.19,2.11,0.0
LZMA,Rntuple,1,8,1,56000.0,0.43,0.24,0.49,2.27,1.02,0.0
LZMA,Rntuple,1,16,1,112000.0,0.35,0.19,0.17,1.0,0.4,0.0
LZMA,Rntuple,1,32,1,224000.0,7.65,7.79,0.39,1.8,0.78,0.05
LZMA,Rntuple,5,1,1,7000.0,0.22,0.47,0.26,1.09,7.84,0.0
LZMA,Rntuple,5,4,1,28000.0,3.03,0.45,0.29,2.44,2.39,0.0
LZMA,Rntuple,5,8,1,56000.0,0.14,0.13,0.44,1.55,0.6,0.0
LZMA,Rntuple,5,16,1,112000.0,0.13,0.06,0.3,0.31,1.23,0.0
LZMA,Rntuple,5,32,1,224000.0,0.55,0.31,0.4,1.67,0.7,0.0
LZMA,TTree,1,1,1,7000.0,0.17,0.13,0.09,2.89,2.99,0.0
LZMA,TTree,1,4,1,28000.0,2.24,1.03,0.07,2.7,1.47,0.0
LZMA,TTree,1,8,1,56000.0,0.88,1.56,0.07,1.4,0.83,0.0
LZMA,TTree,1,16,1,112000.0,0.27,2.21,0.08,2.59,1.94,0.0
LZMA,TTree,1,32,1,224000.0,1.39,1.92,0.04,0.92,0.55,0.05
ZLIB,Rntuple,1,1,1,7000.0,0.44,0.58,0.3,0.7,2.09,0.0
ZLIB,Rntuple,1,4,1,28000.0,2.33,2.15,0.35,2.42,1.89,0.0
ZLIB,Rntuple,1,8,1,56000.0,0.91,0.44,0.21,1.61,0.64,0.0
ZLIB,Rntuple,1,16,1,112000.0,0.47,0.61,0.21,0.76,1.01,0.0
ZLIB,Rntuple,1,32,1,224000.0,3.09,2.21,0.05,0.51,0.1,0.0
ZLIB,Rntuple,5,1,1,7000.0,0.56,0.06,0.02,0.88,4.74,0.0
ZLIB,Rntuple,5,4,1,28000.0,1.63,1.38,0.41,2.56,1.7,0.0
ZLIB,Rntuple,5,8,1,56000.0,0.31,0.63,0.37,1.95,2.66,0.0
ZLIB,Rntuple,5,16,1,112000.0,1.31,1.38,0.46,0.44,1.08,0.0
ZLIB,Rntuple,5,32,1,224000.0,1.55,0.14,0.28,1.92,0.42,0.0
ZSTD,Rntuple,1,1,1,7000.0,0.52,0.38,0.29,2.09,9.39,0.0
ZSTD,Rntuple,1,4,1,28000.0,3.81,0.73,0.24,0.97,1.31,0.0
ZSTD,Rntuple,1,8,1,56000.0,0.63,0.54,0.48,2.63,2.07,0.0
ZSTD,Rntuple,1,16,1,112000.0,0.87,1.43,0.24,1.05,0.41,0.0
ZSTD,Rntuple,1,32,1,224000.0,2.16,2.85,0.25,1.71,0.61,0.05
ZSTD,Rntuple,5,1,1,7000.0,0.5,1.43,0.51,1.62,2.56,0.0
ZSTD,Rntuple,5,4,1,28000.0,1.99,1.95,0.49,2.07,1.04,0.0
ZSTD,Rntuple,5,8,1,56000.0,0.68,0.6,0.01,1.67,1.61,0.0
ZSTD,Rntuple,5,16,1,112000.0,0.25,3.18,0.32,1.02,0.95,0.0
ZSTD,Rntuple,5,32,1,224000.0,1.89,2.31,0.53,1.7,1.52,0.0
