Events_processed,t_CPU(ms/event),Throughput(events/s),CPU_Eff(%),VMem_max(GB),RSS_max(GB),PSS_max(GB),commitOutput(ms),cObjR(ms),Wall_time(s),Loop_time(ms),Run_ID,Processors,Cores,Worker,DAOD_size_GB
0,0,0.0,0,,,,0,2508,,0,1,1,2,worker_0,0.0009
10,1647,0.391,60,4.31,2.66,,0,3054,25.575,16470,1,1,2,worker_1,0.0009
0,0,0.0,0,,,,0,2872,,0,2,1,2,worker_0,0.0009
10,1553,0.4,60,4.31,2.66,,0,3275,25.0,15530,2,1,2,worker_1,0.0009
10,1557,0.41,61,4.25,2.64,,0,2802,24.39,15570,3,1,2,worker_0,0.0009
0,0,0.0,0,,,,0,2479,,0,3,1,2,worker_1,0.0009
0,0,0.0,0,,,,0,2448,,0,4,1,2,worker_0,0.0009
10,1565,0.396,60,4.31,2.66,,0,3262,25.253,15650,4,1,2,worker_1,0.0009
0,0,0.0,0,,,,0,2554,,0,5,1,2,worker_0,0.0009
10,1584,0.356,58,4.31,2.65,,0,6054,28.09,15840,5,1,2,worker_1,0.0009
