Events_processed,t_CPU(ms/event),Throughput(events/s),CPU_Eff(%),VMem_max(GB),RSS_max(GB),PSS_max(GB),commitOutput(ms),cObjR(ms),Wall_time(s),Loop_time(ms),Run_ID,Processors,Cores,Worker,DAOD_size_GB
500,1355,0.706,93,4.81,3.49,,4921,27859,708.215,677500,1,1,2,worker_0,0.0419
500,1360,0.698,92,4.81,3.48,,10847,28897,716.332,680000,1,1,2,worker_1,0.0419
500,1330,0.713,92,4.81,3.46,,4801,32472,701.262,665000,2,1,2,worker_0,0.0419
500,1361,0.694,92,4.81,3.46,,4659,34315,720.461,680500,2,1,2,worker_1,0.0419
500,1297,0.738,93,4.82,3.47,,4587,27830,677.507,648500,3,1,2,worker_0,0.0419
500,1368,0.705,94,4.81,3.46,,4765,22978,709.22,684000,3,1,2,worker_1,0.0419
500,1315,0.733,93,4.81,3.46,,4723,23609,682.128,657500,4,1,2,worker_0,0.0419
500,1370,0.702,93,4.81,3.46,,4740,19573,712.251,685000,4,1,2,worker_1,0.0419
500,1372,0.699,94,4.81,3.46,,9573,23054,715.308,686000,5,1,2,worker_0,0.0419
500,1363,0.707,94,4.81,3.46,,4679,23764,707.214,681500,5,1,2,worker_1,0.0419
300,1403,0.675,91,4.73,3.39,,0,19832,444.444,420900,1,1,4,worker_0,0.0402
300,1309,0.719,91,4.74,3.4,,0,19632,417.246,392700,1,1,4,worker_1,0.0402
200,1487,0.628,89,4.75,3.39,,0,15960,318.471,297400,1,1,4,worker_2,0.0402
200,1430,0.652,89,4.73,3.39,,0,16020,306.748,286000,1,1,4,worker_3,0.0402
300,1313,0.728,90,4.74,3.39,,0,11778,412.088,393900,2,1,4,worker_0,0.0403
300,1414,0.669,90,4.74,3.39,,0,19908,448.43,424200,2,1,4,worker_1,0.0403
200,1547,0.604,87,4.73,3.39,,0,16577,331.126,309400,2,1,4,worker_2,0.0403
200,1492,0.626,87,4.73,3.38,,0,16090,319.489,298400,2,1,4,worker_3,0.0403
300,1403,0.666,89,4.73,3.39,,0,26107,450.45,420900,3,1,4,worker_0,0.0402
300,1310,0.712,89,4.74,3.39,,0,24729,421.348,393000,3,1,4,worker_1,0.0402
200,1483,0.617,86,4.73,3.39,,0,22568,324.149,296600,3,1,4,worker_2,0.0402
200,1433,0.637,86,4.73,3.38,,0,22190,313.972,286600,3,1,4,worker_3,0.0402
300,1311,0.724,91,4.74,3.39,,0,13864,414.365,393300,4,1,4,worker_0,0.0403
200,1447,0.642,88,4.73,3.39,,0,13286,311.526,289400,4,1,4,worker_1,0.0403
300,1408,0.665,90,4.74,3.39,,0,22262,451.128,422400,4,1,4,worker_2,0.0403
200,1481,0.62,87,4.73,3.38,,0,19556,322.581,296200,4,1,4,worker_3,0.0403
200,1442,0.655,90,4.73,3.41,,0,12227,305.344,288400,5,1,4,worker_0,0.0402
200,1491,0.632,90,4.73,3.42,,0,11902,316.456,298200,5,1,4,worker_1,0.0402
300,1425,0.663,91,4.74,3.43,,0,22192,452.489,427500,5,1,4,worker_2,0.0402
300,1329,0.723,92,4.74,3.42,,0,13813,414.938,398700,5,1,4,worker_3,0.0402
