Events_processed,t_CPU(ms/event),Throughput(events/s),CPU_Eff(%),VMem_max(GB),RSS_max(GB),PSS_max(GB),commitOutput(ms),cObjR(ms),Wall_time(s),Loop_time(ms),Run_ID,Processors,Cores,Worker,DAOD_size_GB
241,1531,0.623,91,6.25,4.95,,0,20792,386.838,368971,1,1,4,worker_0,0.0403
236,1567,0.607,91,6.37,4.95,,0,20944,388.797,369812,1,1,4,worker_1,0.0403
260,1429,0.67,91,6.38,4.97,,0,18911,388.06,371540,1,1,4,worker_2,0.0403
263,1400,0.68,91,6.26,4.98,,0,20768,386.765,368200,1,1,4,worker_3,0.0403
244,1445,0.664,92,6.25,4.97,,0,19887,367.47,352580,2,1,4,worker_0,0.0403
253,1398,0.687,92,6.26,4.97,,0,19274,368.268,353694,2,1,4,worker_1,0.0403
258,1373,0.703,92,6.25,4.96,,0,17665,366.999,354234,2,1,4,worker_2,0.0403
245,1448,0.668,92,6.26,4.96,,0,17916,366.766,354760,2,1,4,worker_3,0.0403
238,1481,0.651,92,6.25,4.96,,0,18294,365.591,352478,3,1,4,worker_0,0.0403
250,1406,0.686,92,6.25,4.96,,0,18485,364.431,351500,3,1,4,worker_1,0.0403
260,1354,0.711,92,6.25,4.97,,0,18245,365.682,352040,3,1,4,worker_2,0.0403
252,1392,0.691,92,6.26,4.97,,0,18197,364.689,350784,3,1,4,worker_3,0.0403
253,1415,0.681,92,6.25,4.97,,0,18416,371.512,357995,4,1,4,worker_0,0.0403
249,1431,0.672,92,6.26,4.97,,0,18801,370.536,356319,4,1,4,worker_1,0.0403
257,1387,0.693,92,6.24,4.95,,0,18592,370.851,356459,4,1,4,worker_2,0.0403
241,1487,0.649,92,6.25,4.96,,0,18886,371.341,358367,4,1,4,worker_3,0.0403
251,1436,0.652,79,6.25,4.96,,0,18419,384.969,360436,5,1,4,worker_0,0.0403
251,1419,0.649,78,6.25,4.95,,0,18852,386.749,356169,5,1,4,worker_1,0.0403
248,1423,0.642,77,6.25,4.95,,0,18865,386.293,352904,5,1,4,worker_2,0.0403
250,1432,0.647,78,6.25,4.97,,0,18882,386.399,358000,5,1,4,worker_3,0.0403
501,1334,0.727,85,6.32,5.03,,4766,18475,689.133,668334,1,1,2,worker_0,0.0424
499,1339,0.725,85,6.32,5.02,,4620,18993,688.276,668161,1,1,2,worker_1,0.0424
504,1337,0.721,87,6.32,5.03,,4731,22232,699.029,673848,2,1,2,worker_0,0.0424
496,1359,0.709,87,6.45,5.15,,4559,22151,699.577,674064,2,1,2,worker_1,0.0424
492,1375,0.708,87,6.33,4.82,,4578,21308,694.915,676500,3,1,2,worker_0,0.0424
508,1334,0.729,86,6.48,5.0,,4730,21447,696.845,677672,3,1,2,worker_1,0.0424
502,1316,0.734,87,6.32,5.02,,4677,22516,683.924,660632,4,1,2,worker_0,0.0424
498,1331,0.728,87,6.33,5.02,,4376,22176,684.066,662838,4,1,2,worker_1,0.0424
501,1312,0.746,94,6.33,5.02,,4672,18910,671.582,657312,5,1,2,worker_0,0.0424
499,1317,0.743,94,6.33,5.02,,4409,18994,671.602,657183,5,1,2,worker_1,0.0424
