Run_ID,Processors,Cores,Algo,AODtype,Level,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB
1,1,2,ZSTD,RNtuple,1,10,0.0007,0.0007,22.24,17.22,8.25,0.001
3,1,2,ZSTD,RNtuple,1,10,0.0007,0.0007,22.24,17.23,8.25,0.001
1,1,2,ZSTD,RNtuple,1,10,0.0007,0.0007,22.22,17.22,8.24,0.001
5,1,2,ZSTD,RNtuple,1,10,0.0007,0.0007,22.24,17.13,8.24,0.001
1,1,4,ZSTD,RNtuple,1,1000,0.0027,0.0477,35.42,27.83,14.44,0.0403
2,1,4,ZSTD,RNtuple,1,1000,0.0028,0.0503,35.55,27.97,14.57,0.0403
3,1,4,ZSTD,RNtuple,1,1000,0.0028,0.0541,35.67,28.11,14.72,0.0403
4,1,4,ZSTD,RNtuple,1,1000,0.0028,0.0529,35.41,27.85,14.45,0.0403
5,1,4,ZSTD,RNtuple,1,1000,0.0028,0.053,35.42,27.81,14.42,0.0403
1,1,2,ZSTD,RNtuple,1,1000,0.0015,0.0527,23.3,18.41,9.95,0.0424
2,1,2,ZSTD,RNtuple,1,1000,0.0015,0.045,23.05,17.94,9.36,0.0424
3,1,2,ZSTD,RNtuple,1,1000,0.0015,0.0466,23.31,17.52,10.03,0.0424
4,1,2,ZSTD,RNtuple,1,1000,0.0015,0.0444,23.19,18.11,9.5,0.0424
5,1,2,ZSTD,RNtuple,1,1000,0.0015,0.0526,23.19,18.11,9.5,0.0424
